"ComputerName","File","FunctionName","Level","Line","Message","ModuleName","Runspace","Tags","TargetObject","Timestamp","Type","Username"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","Start-PodeApiServer","Verbose","332","Begin Start-PodeApiServer","<Unknown>","19bb2ea6-f0b6-4e72-b3e2-7295e1adb98e","",,"10.04.2024 12:17:39","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","Invoke-BearerAuthtication","Verbose","128","Initialize Invoke-BearerAuthtication","<Unknown>","19bb2ea6-f0b6-4e72-b3e2-7295e1adb98e","",,"10.04.2024 12:17:40","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","New-AssetToQueue","Verbose","187","Initialize New-AssetToQueue","<Unknown>","19bb2ea6-f0b6-4e72-b3e2-7295e1adb98e","",,"10.04.2024 12:17:40","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","Remove-AssetFromQueue","Verbose","229","Initialize Remove-AssetFromQueue","<Unknown>","19bb2ea6-f0b6-4e72-b3e2-7295e1adb98e","",,"10.04.2024 12:17:40","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","Add-PodeApiEndpoint","Verbose","266","Initialize Add-PodeApiEndpoint","<Unknown>","19bb2ea6-f0b6-4e72-b3e2-7295e1adb98e","",,"10.04.2024 12:17:40","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","Start-PodeApiServer","Verbose","358","Process API","<Unknown>","19bb2ea6-f0b6-4e72-b3e2-7295e1adb98e","",,"10.04.2024 12:17:40","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","Start-PodeApiServer","Verbose","332","Begin Start-PodeApiServer","<Unknown>","66b61c52-7bc6-49aa-b2a6-67901f514470","",,"10.04.2024 12:20:08","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","Invoke-BearerAuthtication","Verbose","128","Initialize Invoke-BearerAuthtication","<Unknown>","66b61c52-7bc6-49aa-b2a6-67901f514470","",,"10.04.2024 12:20:08","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","New-AssetToQueue","Verbose","187","Initialize New-AssetToQueue","<Unknown>","66b61c52-7bc6-49aa-b2a6-67901f514470","",,"10.04.2024 12:20:08","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","Remove-AssetFromQueue","Verbose","229","Initialize Remove-AssetFromQueue","<Unknown>","66b61c52-7bc6-49aa-b2a6-67901f514470","",,"10.04.2024 12:20:08","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","Add-PodeApiEndpoint","Verbose","266","Initialize Add-PodeApiEndpoint","<Unknown>","66b61c52-7bc6-49aa-b2a6-67901f514470","",,"10.04.2024 12:20:08","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","Start-PodeApiServer","Verbose","358","Process API","<Unknown>","66b61c52-7bc6-49aa-b2a6-67901f514470","",,"10.04.2024 12:20:08","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","Start-PodeApiServer","Verbose","332","Begin Start-PodeApiServer","<Unknown>","305f4317-cb9a-49fb-a1b7-1466cadecef9","",,"10.04.2024 12:52:34","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","Invoke-BearerAuthtication","Verbose","128","Initialize Invoke-BearerAuthtication","<Unknown>","305f4317-cb9a-49fb-a1b7-1466cadecef9","",,"10.04.2024 12:52:35","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","New-AssetToQueue","Verbose","187","Initialize New-AssetToQueue","<Unknown>","305f4317-cb9a-49fb-a1b7-1466cadecef9","",,"10.04.2024 12:52:35","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","Remove-AssetFromQueue","Verbose","229","Initialize Remove-AssetFromQueue","<Unknown>","305f4317-cb9a-49fb-a1b7-1466cadecef9","",,"10.04.2024 12:52:35","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","Add-PodeApiEndpoint","Verbose","266","Initialize Add-PodeApiEndpoint","<Unknown>","305f4317-cb9a-49fb-a1b7-1466cadecef9","",,"10.04.2024 12:52:35","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","Start-PodeApiServer","Verbose","358","Process API","<Unknown>","305f4317-cb9a-49fb-a1b7-1466cadecef9","",,"10.04.2024 12:52:35","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","Add-PodeApiEndpoint","Verbose","293","Process de818728-b291-4115-b785-e5951f08a85a","<Unknown>","d9dcbc1d-75c2-40cc-a828-c356802b5781","","axios/1.6.7","10.04.2024 12:53:34","Verbose, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","New-AssetToQueue","Important","193","Created de818728-b291-4115-b785-e5951f08a85a.json","<Unknown>","89b16b84-9121-4853-a06f-d43d0f0f9f81","",,"10.04.2024 12:53:34","Information, Debug","AT40845\tinu"
"AT40845","D:\github.com\PSAutoMic\bin\Start-PSAutoMic.ps1","Remove-AssetFromQueue","Important","235","Deleted de818728-b291-4115-b785-e5951f08a85a.json","<Unknown>","89b16b84-9121-4853-a06f-d43d0f0f9f81","",,"10.04.2024 12:53:44","Information, Debug","AT40845\tinu"
